id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26498850,Diamond Villa in the Heart of Pacific Beach,199290159,Janice,,Pacific Beach,32.79948,-117.2494,Entire home/apt,131,2,226,2022-06-06,4.71,1,65,65,
26503631,"Ocean Beach Cottages 1
Sunshine Cottage",192970433,Melanie,,Ocean Beach,32.74677,-117.24592,Entire home/apt,163,2,218,2022-05-30,4.57,3,114,47,
25869029,Hillside Coastal Guest House in La Jolla,194352136,Maruca,,La Jolla,32.84632,-117.25921,Entire home/apt,155,2,57,2022-01-01,1.17,1,0,40,
26518886,Cozy & Quaint... blocks from Contemporary & Cool,183811164,Devin,,West University Heights,32.7537,-117.1528,Entire home/apt,276,2,44,2022-06-06,0.92,1,69,22,
25893522,2 Bed/1 Bath 5 Min to Downtown San Diego Apt # 1,42795986,Daniel,,Memorial,32.69959,-117.12375,Entire home/apt,165,1,156,2022-05-29,3.19,9,64,27,
26531512,Rare Mission Bay View,199548030,Annie,,Mission Bay,32.790306,-117.233398,Entire home/apt,350,3,136,2022-05-29,2.85,1,227,34,
26866906,North Park walking distance to lots of fun.,159842680,Nefertari,,North Hills,32.74979,-117.1327,Private room,100,1,5,2018-08-05,0.10,1,0,0,
26533611,2 Bed/1 Bath 5 Min to Downtown San Diego Apt # 2,42795986,Daniel,,Memorial,32.69947,-117.12242,Entire home/apt,165,1,183,2022-05-30,3.82,9,59,29,
25911461,Centrally located studio; Renovated & SANITIZED!,41828860,Robert,,Bay Park,32.77328,-117.20414,Entire home/apt,123,1,534,2022-06-12,10.94,1,93,177,
26534196,3BR house conveniently located in Liberty Station,63979000,Van,,Midtown District,32.73162,-117.22105,Entire home/apt,350,3,45,2021-08-15,0.95,1,14,5,
25915891,Best Darn Rental - Central to All the Best Spots,29770904,Tiffany,,Mira Mesa,32.92198,-117.14098,Private room,85,1,19,2021-04-29,0.40,1,2,0,
25919425,Open & inviting loft in South Park San Diego,2471170,Matthew,,South Park,32.72628,-117.12676,Entire home/apt,136,28,18,2021-03-08,0.38,2,60,0,
